4909;16
1629;16
341;16
3308;15
116;15
1026;16
1239;16
2011;16
1890;14
1440;15
1050;15
1042;16
4039;16
414;15
1061;16
2309;16
328;15
4435;15
3647;16
404;16
1302;16
548;15
4179;16
2639;16
3308;16
311;14
3656;15
1212;15
678;16
1819;16
2937;15
323;15
2219;14
305;15
1673;16
2396;16
492;15
3936;16
1066;16
499;16
297;15
2764;15
3891;15
1852;15
855;15
1032;16
1182;15
1263;15
1634;16
565;16
105;15
759;15
453;15
1086;15
1141;15
3762;16
2891;16
3177;15
986;15
302;15
2301;16
2326;16
162;16
696;15
647;15
1072;15
3274;15
1395;14
2217;16
1854;15
630;16
1369;16
2531;16
230;16
493;16
803;16
4344;16
231;15
881;16
2264;16
1448;16
1309;16
627;15
1073;16
2584;15
1035;16
3643;16
377;16
1247;16
911;16
4280;16
4029;16
809;15
1420;15
75;15
3375;15
3460;15
2828;16
1264;15
3764;15
